Country,Place Name,Category,Neighbourhood / City,Description / Notes,Source (Instagram Post),Source Account,Day
Korea,Gyeongju (경주),City,North Gyeongsang,Days 10–12 on 2-week Korea itinerary; ancient temples; royal tombs; mossy paths; history,https://www.instagram.com/p/DUBZ8oSDypl/,wheretonextguys,Day 12-13
Korea,Busan (부산),City,South Gyeongsang,Days 13–15 on 2-week Korea itinerary; seaside city; markets; beaches; parks,https://www.instagram.com/p/DUBZ8oSDypl/ | https://www.instagram.com/p/DRgKvDDklaI/ | https://www.instagram.com/p/DSpySFREjYe/,wheretonextguys | yesjmo | leeskincare7,Day 10-11
Korea,Hwangnyeongsan (황령산),Viewpoint,Busan,Hwangnyeongsan Beacon 황령산봉수대 — best view in Busan; take Uber most of the way up; sunset city lights,https://www.instagram.com/p/DRgKvDDklaI/,yesjmo,Day 10-11
Korea,Jeju (제주),Island,Jeju,Mentioned as alternative itinerary stop; dreamy beach houses via LiveAnywhere platform,https://www.instagram.com/p/DUnXsnHk9DJ/ | https://www.instagram.com/p/DUBZ8oSDypl/,eyopkr | thewanderlustscot (comment),Day 12-13
Korea,Nami Island (남이섬),Day Trip,Gyeonggi,Bookable day trip via Klook,https://www.instagram.com/p/DO56MhaiL-s/,travel.with.payal,Day 9 (day trip)
Korea,DMZ,Day Trip,Gyeonggi / Gangwon border,Demilitarized Zone tours bookable via Klook or GetYourGuide; recommended to do last day,https://www.instagram.com/p/DUp4KmkETt8/ | https://www.instagram.com/p/DO56MhaiL-s/,caitieandsteph (comment) | travel.with.payal,Day 13
Korea,Heyri Art Village,Day Trip,Gyeonggi,Half-day trip; museums and Korean Folk Museum nearby; recommended alternative day trip,https://www.instagram.com/p/DUp4KmkETt8/,warmcozycomfy (comment),Day 9 (day trip)
Korea,DNA Skin Clinic (@dnaskin12 / @dnaskin_lab),Skincare Clinic,Seoul,Skin treatments; microneedling; RF; airjet; English-speaking; visited 6+ times by poster,https://www.instagram.com/p/DR4nHLUkuMx/,myskinisglass,Day 7-8
Korea,Optima Wellness Museum Pharmacy (@owm.pharm.official),Pharmacy / Skincare,Gangnam area,Near Gangnam; pharmacy-style skincare treatments,https://www.instagram.com/p/DSpySFREjYe/,leeskincare7,Day 7
Korea,Seoulistique Skin (@seoulistique.skin),Skincare Clinic,Aeogae (애오개),Skin analysis + 8-step Astrodome facial; glowing results; book via DM,https://www.instagram.com/p/DUD1MlDD-Yv/,zoe.rammie,Day 7-8
Korea,Abijou Myeongdong Branch (명동점),Skincare Clinic,Myeongdong,Affordable skin clinic; great for foreigners; busy but personal care; also has Hongdae branch,https://www.instagram.com/p/DSgrmX7Eg5y/,mijainseoul,Day 2
Korea,Abijou Hongdae Branch,Skincare Clinic,Hongdae,Less crowded than Myeongdong branch; less personal but still good service,https://www.instagram.com/p/DSgrmX7Eg5y/,mijainseoul (comment by lialia_0315),Day 3-4
Korea,Joa Pilates (@joapilates),Wellness,Seoul,Ear seeding / ear therapy treatment; book via IG DM; uses @byava products,https://www.instagram.com/p/DR3RZZqCeeO/,sarahpalmyra,Day 7-8
Korea,Weave Living — Weave Suite Seoyu Parkside,Accommodation,Seoyu (선유),Premium serviced apartment; steps from Seoyu Station; Han River terrace view; co-working space; yoga studio; golf range; weekly housekeeping,https://www.instagram.com/p/DMu5u4HN8zu/,heezerro,Day 1
Korea,LiveAnywhere Korea (@liveanywhere.korea),Accommodation Platform,Nationwide (Seoul + Jeju),Short-term rental app for stays 1 week+; loft near Gwangjang Market featured; also Jeju beach houses,https://www.instagram.com/p/DUnXsnHk9DJ/,eyopkr,Day 12-13
Korea,Granhand (그랑핸드),Shopping / Souvenir,Hanok Village Seoul,Custom perfumery; choose scent and personalise label with your name; multiple locations; Hanok Village branch most atmospheric,https://www.instagram.com/p/DTJ3xEfElTr/,travelwithvidushi,Day 5-6
Korea,NOMANUAL Flagship Store,Clothing Store,Seongsu,Elevated Korean streetwear; highly rated by poster,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,THREE TO EIGHTY,Clothing Store,Seongsu,Korean designer multi-brand,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,Customellow Seongsu Prints,Clothing Store,Seongsu,Custom prints concept store,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,Blue Elephant Seongsu Flagship,Clothing Store,Seongsu,Flagship concept space,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,RAWROW Worldwide Seoul,Clothing Store,Seongsu,Bag and accessories brand,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,Rest & Recreation Seongsu,Clothing Store,Seongsu,Streetwear concept store,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,ÅLAND Hongdae,Clothing Store,Hongdae,Multi-brand concept store,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 3-4
Korea,MUSINSA Hongdae,Clothing Store,Hongdae,Korean streetwear platform flagship,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 3-4
Korea,Double Lovers Seongsu Flagship,Clothing Store,Seongsu,Flagship concept store,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,TETO Objet Seongsu,Clothing Store,Seongsu,Lifestyle and objet concept store,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,HATCHINGROOM Seongsu,Clothing Store,Seongsu,Independent Korean brand,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,MUSINSA EMPTY Seongsu,Clothing Store,Seongsu,Curated MUSINSA concept space,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,Musinsa Standard Seongsu,Clothing Store,Seongsu,MUSINSA basics line flagship,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,LOW CLASSIC Seongsu,Clothing Store,Seongsu,Minimalist Korean womenswear,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,INSILENCE Seongsu Flagship,Clothing Store,Seongsu,Korean streetwear brand,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,thisisneverthat Seongsu Flagship,Clothing Store,Seongsu,Korean streetwear — top brand discovered in Korea per comments,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,ODLYWORKSHOP,Clothing Store,Seoul,Independent workshop concept store,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Flexible
Korea,Beaker Seongsu Flagship Store,Clothing Store,Seongsu,Multi-brand select shop,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,ACME DE LA VIE Seongsu Showroom,Clothing Store,Seongsu,Premium Korean streetwear showroom,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,NOT4NERD Seongsu Flagship,Clothing Store,Seongsu,Eyewear and accessories brand,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,TREEMINGBIRD Seongsu Store,Clothing Store,Seongsu,Korean casual brand,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,Fenek Hongdae Showroom,Clothing Store,Hongdae,Independent Korean brand showroom,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 3-4
Korea,Citybreeze Seoul Flagship,Clothing Store,Hannam,Seoul lifestyle concept store,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,Miseki Seoul,Clothing Store,Seoul,Korean designer boutique,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Flexible
Korea,Fucking Awesome Seoul,Clothing Store,Hannam,Skate / streetwear brand flagship,https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot,Day 5-6
Korea,Mardi Mercredi (Hannam),Clothing Store,Hannam,Casual creative Korean brand; also in Shinsegae Gangnam,https://www.instagram.com/p/DURGuYlD_mr/ | https://www.instagram.com/p/DTC_5iykign/,elysnapshot | jiwon.now,Day 5-6
Korea,Worksout,Clothing Store,Apgujeong,Streetwear store in Apgujeong — recommended in comments,https://www.instagram.com/p/DURGuYlD_mr/,hirlala (comment),Day 7-8
Korea,Maison Loeuvre,Fashion Brand / Store,Shinsegae Gangnam 5F,Most famous Korean bag brand; minimal and elegant,https://www.instagram.com/p/DTC_5iykign/,jiwon.now,Day 7-8
Korea,Tennat,Fashion Brand / Store,Shinsegae Gangnam 5F,Modern sleek bag brand,https://www.instagram.com/p/DTC_5iykign/,jiwon.now,Day 7-8
Korea,Archive PKE,Fashion Brand / Store,Shinsegae Gangnam 5F,Street casual Korean brand,https://www.instagram.com/p/DTC_5iykign/,jiwon.now,Day 7-8
Korea,DUNST,Fashion Brand / Store,Shinsegae Gangnam 5F,Trendy understated daily wear,https://www.instagram.com/p/DTC_5iykign/,jiwon.now,Day 7-8
Korea,Joygryson,Fashion Brand / Store,Shinsegae Gangnam 5F,Simple chic women's workwear,https://www.instagram.com/p/DTC_5iykign/,jiwon.now,Day 7-8
Korea,Umer,Fashion Brand / Store,Shinsegae Gangnam 5F,Minimal stylish women's clothing,https://www.instagram.com/p/DTC_5iykign/,jiwon.now,Day 7-8
Korea,Beglowny,Fashion Brand / Store,Shinsegae Gangnam 5F,Romantic and stylish — popular with young Koreans,https://www.instagram.com/p/DTC_5iykign/,jiwon.now,Day 7-8
Korea,Lookast,Fashion Brand / Store,Shinsegae Gangnam 8F,Street and modern mix; younger crowd,https://www.instagram.com/p/DTC_5iykign/,jiwon.now,Day 7-8
Korea,Till.idie,Fashion Brand / Store,Shinsegae Gangnam 8F,Hip streetwear; hoodies and tees a must,https://www.instagram.com/p/DTC_5iykign/,jiwon.now,Day 7-8
Korea,Recto,Fashion Brand / Store,Shinsegae Gangnam 8F,Sleek office and casual unisex,https://www.instagram.com/p/DTC_5iykign/,jiwon.now,Day 7-8
Korea,Sandbeige,Fashion Brand / Store,Shinsegae Gangnam 8F,Soft tones; minimal aesthetics; great basics,https://www.instagram.com/p/DTC_5iykign/,jiwon.now,Day 7-8
Korea,Rockfish,Fashion Brand / Store,Shinsegae Gangnam 8F,Trendy accessories and casual wear,https://www.instagram.com/p/DTC_5iykign/,jiwon.now,Day 7-8
Korea,Emis,Fashion Brand / Store,Shinsegae Gangnam 8F,Famous for stylish hats; modern women's clothing,https://www.instagram.com/p/DTC_5iykign/,jiwon.now,Day 7-8
Korea,Mardi Mercredi (Gangnam),Fashion Brand / Store,Shinsegae Gangnam 8F,Casual creative standout designs,https://www.instagram.com/p/DTC_5iykign/,jiwon.now,Day 7-8
Korea,Brownyard,Fashion Brand / Store,Shinsegae Gangnam 8F,Between basic and trendy; comfy everyday items,https://www.instagram.com/p/DTC_5iykign/,jiwon.now,Day 7-8
Korea,Révdou (레브두),Bakery,Seoul,Moon croissant — multi-layer vanilla tahiti cream croissant; very popular,https://www.instagram.com/p/DNkzMwjTuZR/,today_dessert,Flexible
Korea,The Truffle Bakery (더트러플베이커리),Bakery,Seoul,Tissue bread — peel-apart crispy outside fluffy inside,https://www.instagram.com/p/DNkzMwjTuZR/,today_dessert,Flexible
Korea,Bijeonstrol Yeonhui Roastery (비전스트롤 연희로스터리),Café / Bakery,Yeonhui Seoul,Seasonal toast with butter and jam; coffee pairing,https://www.instagram.com/p/DNkzMwjTuZR/,today_dessert,Flexible
Korea,Amor Napoli (아모르나폴리),Bakery,Seoul,Fire-baked salt bread (화덕 소금빵); crispy outside chewy inside; wood-fired,https://www.instagram.com/p/DNkzMwjTuZR/,today_dessert,Flexible
Korea,Cat & F (캣앤에프),Bakery,Seoul,Corn-shaped corn salt bread; Gangwon corn cream filling,https://www.instagram.com/p/DNkzMwjTuZR/,today_dessert,Flexible
Korea,Belief Coffee Roasters (빌리프커피로스터스),Café / Bakery,Seoul,Apple cream bread — sells out instantly; pastry with custard cream and crunchy apple; check baking times before visiting,https://www.instagram.com/p/DNkzMwjTuZR/,today_dessert,Flexible
Korea,The Air House Festival,Event / Festival,Nami Island (남이섬),"Eco-friendly house music festival — house music in nature. May annually. 30+ friendly, kid/pet/vegan/foreigner-friendly. Sauna bus, morning yoga, live bands, disco aerobics, crafting, karaoke, camping, hammocks. @the_airhouse",https://www.instagram.com/mijainseoul/reel/DZGQtpFE7zR/,mijainseoul,Flexible
Korea,Cimer at Paradise City,Jjimjilbang / Spa,Incheon (near airport),Specifically recommended for foreigners with tattoos — 100% stress-free. Paradise City complex near Incheon Airport. Great for a post-flight or pre-flight soak.,https://www.instagram.com/mijainseoul/reel/DYwQHTnR0ny/,mijainseoul,Flexible
Korea,숲속한방랜드 (Forest Korean Bath),Jjimjilbang,Sinchon Seoul,Outdoor charcoal sauna near Sinchon. Search 찜질방 in Naver Maps for nearest location.,https://www.instagram.com/mijainseoul/reel/DSSV_j3Eku8/,mijainseoul,Day 3-4
Korea,아쿠아필드 Aquafield,Jjimjilbang,Suburban Seoul,Luxury jjimjilbang experience. Slightly outside central Seoul but worth the trip.,https://www.instagram.com/mijainseoul/reel/DSSV_j3Eku8/,mijainseoul,Flexible
Korea,Reclow Myeongdong Flagship,Shopping,Myeongdong Seoul,"Trendy affordable Korean accessories — folding sunglasses, bags, rain boots, seasonal accessories. 12 Myeong-dong 8-na-gil Jung-gu Seoul. Open daily 10:30–23:00. naver.me/xGFxCi0c",https://www.instagram.com/mijainseoul/reel/DYnmAyxyuug/,mijainseoul,Day 2
Korea,Sam Sam Sam (쓰리쓰리쓰리),Restaurant,Gwanghwamun Seoul,American-style cozy bistro from Samcheong-dong now in Gwanghwamun. Creative dishes you can only find in Korea. naver.me/Goivggyk,https://www.instagram.com/mijainseoul/reel/DYiNfyPzR4p/,mijainseoul,Flexible
Korea,Kyobo Book Centre (교보문고),Shopping / Souvenir,Gwanghwamun Seoul,"Korea's largest bookstore. Not just books — K-stationery, stickers, music, unique Korean souvenirs. Easy to lose track of time here. naver.me/xtgpqcS3",https://www.instagram.com/mijainseoul/reel/DYiNfyPzR4p/,mijainseoul,Day 9
Korea,NYUNYU (뉴뉴),Shopping,Myeongdong Seoul,"Multi-story accessory heaven. Thousands of earrings, necklaces, bags, hats at very affordable prices. Open late. Perfect last stop of the day. naver.me/Gubf9M30",https://www.instagram.com/mijainseoul/reel/DYiNfyPzR4p/,mijainseoul,Day 2
Korea,Manhwa-bang / Comic Book Café,Hidden Gem,Seoul (near subway stations),"Private pods with curtains, blankets, pillows, leg massagers. Order ramyeon/tteokbokki to your pod. ~₩3,000–4,000/hr. Chains: Nolsoop (놀숲) and Beoltoon (벌툰). Package deal = 1hr + drink best value.",https://www.instagram.com/mijainseoul/reel/DYfCnfVyhZy/,mijainseoul,Flexible
Korea,Yonghada Korean Medicine Clinic (용하다 한의원),Wellness / Clinic,Myeongdong Seoul,"At Myeongdong Station Exit 2. English/Japanese/Chinese/Spanish speaking doctor. Cupping therapy, acupuncture, circulation medicine, wild ginseng injection, chuna therapy, facial lifting, weight loss. Check-up ₩132,000. Healing course C ₩242,000. @yonghadaclinic_en — DM for prices. naver.me/FORmG2el",https://www.instagram.com/mijainseoul/reel/DXjt_txEh_z/,mijainseoul,Day 7-8
Korea,Rolling Jay Hair Salon,Beauty / Hair,Seoul,"Celebrity-level hair stylist @rollingjay_siwon__ (women) & @rollingjay_siwon__men. Teaches styling at home. Book via DM, Kakao ID: ruddo462, or Naver. naver.me/F9N4yI6L",https://www.instagram.com/mijainseoul/reel/DYN1LZ0SqTt/,mijainseoul,Flexible
Korea,Glasses / Optical shops,Tip,Seoul (any area),Get new glasses in 10 minutes. No reservation or prescription needed. Much cheaper than home. Any optical shop works — look for them near major streets.,https://www.instagram.com/mijainseoul/reel/DSERRWaErB7/,mijainseoul,Flexible
Korea,Korean Pantry Souvenirs,Shopping Tip,Supermarkets across Seoul,"Must-buy: Sesame oil (참기름), rice syrup (조청), plum extract (매실청), coin broth (코인육수). Available at E-mart / Lotte Mart / Homeplus. Premium versions at department stores and traditional markets.",https://www.instagram.com/mijainseoul/p/DYVVgnwjU-t/,mijainseoul,Day 14
Korea,Mijainseoul Naver Map,Resource,Seoul (citywide),"Curated Naver Map of ALL Mija's Seoul recommendations — restaurants, spas, shops. Direct link: naver.me/FNtroVSQ",https://www.instagram.com/mijainseoul/,mijainseoul,Flexible
Korea,Vands Clinic Hongdae,Skincare,Hongdae Seoul,First thing she did arriving in Korea — rejuran treatment. Foreign-friendly. Also has Myeongdong (@vands_myeongdong) and Gangnam branches. One of the most recommended foreigner-friendly clinics.,https://www.instagram.com/reel/DWwG5XJkvtB/,liked_posts_export,Day 3-4
Korea,Vands Clinic Myeongdong,Skincare,Myeongdong Seoul,"Foreign-friendly injectable clinic (filler, botox etc). 30s & wedding era crowd. @vands_myeongdong | @vands_myeongdong_gangnam_eng for Gangnam branch.",https://www.instagram.com/reel/C7FbigpSjiU/,liked_posts_export,Day 2
Korea,Eraser Clinic (Dr. Eraser),Skincare,Sinsa Gangnam Seoul,"Tune Liner treatment — jawline contouring. No bruising, instant results. Alternative to inmode/Shrunik. @dreraserclinic. Also does laser/inmode. Sinsa-dong Gangnam.",https://www.instagram.com/reel/DCpQNYGIhiq/,liked_posts_export,Day 7
Korea,Inko Seoul (잉코서울),Skincare,Seoul,FREE comprehensive skin analysis before Olive Young shopping. Tells skin age + type + 6 characteristics + customised routine. Only recommends what you actually need. @inkoseoul_official,https://www.instagram.com/reel/DBm74KBIIui/,liked_posts_export,Day 7-8
Korea,Jeil Grand Pharmacy (제일그랑약국),Skincare,Gangnam Seoul,Favourite Korean pharmacy in Gangnam — curated skincare edit. Right near the beauty clinics. @jeilgrand_pharmacy_global,https://www.instagram.com/reel/DVMqhTMEi2p/,liked_posts_export,Day 7
Korea,Olive Young — Free Skin Analysis,Skincare,Seoul (multiple locations),"In-store free skin analysis with consultant. Takes face measurements, explains skin type + 6 key characteristics, customises a routine. No upselling.",https://www.instagram.com/reel/DUexSl6E6Hv/,liked_posts_export,Day 7-8
Korea,애리꼼닭발 (Aeri's Chicken Feet),Food,Wangsimni Seongdong-gu Seoul,"Viral spicy chicken feet restaurant. Wait ~1hr but grab a ticket and roam nearby then come back. 📍3 Wangsimni-ro 22-gil, Doseon-dong, Seongdong-gu, Seoul",https://www.instagram.com/reel/C119P8_Lrxo/,liked_posts_export,Day 3-4
Korea,Rain Report Café,Food,Seoul,Concept café where it rains 24/7 inside — stay cosy with coffee + croissant even in 30°C heat. @rain.report,https://www.instagram.com/reel/DCbei2Ayd3S/,liked_posts_export,Day 3-4
Korea,Korea Bakery World Cup Winner's Bakery,Food,Daejeon,Bakery run by team leader of Korea's Bakery World Cup winning team. Incredible textures and flavours. Worth a day trip from Seoul.,https://www.instagram.com/reel/DVGdq0rkq6E/,liked_posts_export,Day 10 (day trip)
Korea,Scooper Gelato (스쿠퍼젤라또),Food,Seoul,Top trending café on Korean social media. @scooper_gelato,https://www.instagram.com/reel/C7T5A6oPeU2/,liked_posts_export,Day 3-4
Korea,Pachamama Bakery,Food,Seoul,Top trending café on Korean social media. @pachamama.bakery,https://www.instagram.com/reel/C7T5A6oPeU2/,liked_posts_export,Day 3-4
Korea,House of Vinyl Yeonhui,Food,Yeonhui Seoul,"Trending café on Korean social media. @houseofvinyl_yeonhui — Yeonhui neighbourhood, near Hongdae.",https://www.instagram.com/reel/C7T5A6oPeU2/,liked_posts_export,Day 3-4
Korea,Crepeboy Seoul,Food,Seoul,Trending café. @crepeboyseoul,https://www.instagram.com/reel/C7T5A6oPeU2/,liked_posts_export,Day 3-4
Korea,Friends and Yard,Food,Seoul,Trending café. @friends.and.yard,https://www.instagram.com/reel/C7T5A6oPeU2/,liked_posts_export,Day 3-4
Korea,WAA Seoul,Food,Seoul,Trending café on Korean social media. @waa.seoul,https://www.instagram.com/reel/C7T5A6oPeU2/,liked_posts_export,Day 3-4
Korea,Leedorim Seoul,Food,Seoul,Trending café. @leedorim.seoul,https://www.instagram.com/reel/C7T5A6oPeU2/,liked_posts_export,Day 3-4
Korea,Avekcheri,Food,Seoul,Trending café. @avekcheri,https://www.instagram.com/reel/C7T5A6oPeU2/,liked_posts_export,Day 3-4
Korea,Ikovo Coffee Studio,Food,Seoul,Trending café. @ikovoxcoffeestudio,https://www.instagram.com/reel/C7T5A6oPeU2/,liked_posts_export,Day 3-4
Korea,Glowny,Shopping,Hannam Seoul,Independent contemporary boutique in Hannam-dong. Curated fashion.,https://www.instagram.com/reel/DVW_f6_gcMZ/,liked_posts_export,Day 5-6
Korea,Loeuvre (Hannam),Shopping,Hannam Seoul,Independent boutique in Hannam-dong.,https://www.instagram.com/reel/DVW_f6_gcMZ/,liked_posts_export,Day 5-6
Korea,Folnua,Shopping,Hannam Seoul,Independent boutique in Hannam-dong.,https://www.instagram.com/reel/DVW_f6_gcMZ/,liked_posts_export,Day 5-6
Korea,Muut,Shopping,Hannam Seoul,Independent boutique in Hannam-dong.,https://www.instagram.com/reel/DVW_f6_gcMZ/,liked_posts_export,Day 5-6
Korea,Roman & You Seongsu (로맨드유),Shopping,Seongsu Seoul,Roman&You makeup brand's pop-up Pink Office in Seongsu. @romandyou — worth a visit if the pop-up is running.,https://www.instagram.com/p/DI6fxDvzUAr/,liked_posts_export,Day 5-6
Korea,Roofcat Cat Café (루프캣),Culture,Hongdae Seoul,Cat café in Hongdae. Admission includes unlimited self-serve tea and coffee. Snacks available to feed cats. @roofcatme_hongdae,https://www.instagram.com/reel/DBuU8yiBZEA/,liked_posts_export,Day 3-4
Korea,Seoul Baseball (KBO League),Culture,Seoul (Jamsil / Gocheok Dome),"Baseball game in Seoul = full-on party atmosphere, not just sport. Beer, fried chicken, cheering culture. DM @hungrypursuit 'SEOUL BASEBALL' for booking guide.",https://www.instagram.com/reel/DWEo_VPkXqP/,liked_posts_export,Day 2-3
Korea,Workshop by Baskin Robbins,Culture,Nonhyeon-ro Gangnam Seoul,"World's first AI-developed ice cream shop + research lab. Exclusive flavours: wasabi, Cheetos, truffle. 📍201 Nonhyeon-ro, Gangnam District, Seoul. @baskinrobbinskorea",https://www.instagram.com/reel/DDJF9kqRyu4/,liked_posts_export,Day 7-8
Korea,Jangsan Mountain Park (장산산림욕장),Culture,Busan,Very local park — foreigners rarely visit. Beautiful walk OR intense hike on different paths. Great for experiencing authentic Busan neighbourhood life.,https://www.instagram.com/reel/DR3A29YE-Nx/,liked_posts_export,Day 10-11
